,ds,cnp_fi,cnp_fi_pred,day,hour,diff
85,2021-12-01 13:00:00,12.76,12.807662010192871,1,13,0.04766201019287131
86,2021-12-01 14:00:00,12.84,12.794193267822266,1,14,0.04580673217773423
87,2021-12-01 15:00:00,13.03,12.83069133758545,1,15,0.19930866241455014
88,2021-12-01 16:00:00,13.08,12.97568130493164,1,16,0.10431869506835945
89,2021-12-01 17:00:00,13.13,13.09854507446289,1,17,0.03145492553711016
90,2021-12-01 18:00:00,13.2,13.095020294189453,1,18,0.10497970581054616
91,2021-12-01 19:00:00,12.98,12.918707847595215,1,19,0.06129215240478558
92,2021-12-01 20:00:00,12.52,12.654962539672852,1,20,0.134962539672852
93,2021-12-01 21:00:00,12.52,12.443816184997559,1,21,0.07618381500244098
94,2021-12-01 22:00:00,12.22,12.124136924743652,1,22,0.0958630752563483
95,2021-12-01 23:00:00,11.81,11.800085067749023,1,23,0.00991493225097706
96,2021-12-02 00:00:00,11.6,11.639820098876953,2,0,0.03982009887695348
97,2021-12-02 01:00:00,11.38,11.543843269348145,2,1,0.16384326934814375
98,2021-12-02 02:00:00,11.34,11.454198837280273,2,2,0.11419883728027358
99,2021-12-02 03:00:00,11.43,11.596138000488281,2,3,0.16613800048828153
100,2021-12-02 04:00:00,11.77,11.780654907226562,2,4,0.010654907226562926
101,2021-12-02 05:00:00,12.5,12.166921615600586,2,5,0.33307838439941406
102,2021-12-02 06:00:00,12.96,12.576815605163574,2,6,0.38318439483642663
103,2021-12-02 07:00:00,13.15,12.834858894348145,2,7,0.3151411056518558
104,2021-12-02 08:00:00,13.06,13.043146133422852,2,8,0.016853866577148935
105,2021-12-02 09:00:00,12.97,13.071213722229004,2,9,0.10121372222900327
106,2021-12-02 10:00:00,12.89,12.955533027648926,2,10,0.06553302764892521
107,2021-12-02 11:00:00,12.88,12.83127212524414,2,11,0.04872787475586016
108,2021-12-02 12:00:00,12.86,12.77963638305664,2,12,0.0803636169433588
109,2021-12-02 13:00:00,12.85,12.795724868774414,2,13,0.05427513122558558
110,2021-12-02 14:00:00,13.0,12.770918846130371,2,14,0.2290811538696289
111,2021-12-02 15:00:00,12.98,12.823321342468262,2,15,0.1566786575317387
112,2021-12-02 16:00:00,12.94,12.924798965454102,2,16,0.01520103454589794
113,2021-12-02 17:00:00,12.88,13.048676490783691,2,17,0.16867649078369062
114,2021-12-02 18:00:00,12.89,13.003725051879883,2,18,0.11372505187988224
115,2021-12-02 19:00:00,12.94,12.855276107788086,2,19,0.08472389221191357
116,2021-12-02 20:00:00,12.55,12.60639476776123,2,20,0.05639476776122976
117,2021-12-02 21:00:00,12.65,12.39424991607666,2,21,0.2557500839233402
118,2021-12-02 22:00:00,12.46,12.138879776000977,2,22,0.3211202239990243
119,2021-12-02 23:00:00,11.97,11.834508895874023,2,23,0.1354911041259772
120,2021-12-03 00:00:00,11.65,11.79544448852539,3,0,0.14544448852539027
121,2021-12-03 01:00:00,11.56,11.674182891845703,3,1,0.11418289184570263
122,2021-12-03 02:00:00,11.58,11.603021621704102,3,2,0.02302162170410149
123,2021-12-03 03:00:00,11.7,11.689191818237305,3,3,0.010808181762694602
124,2021-12-03 04:00:00,12.03,11.910882949829102,3,4,0.1191170501708978
125,2021-12-03 05:00:00,12.78,12.288294792175293,3,5,0.4917052078247064
126,2021-12-03 06:00:00,13.23,12.690667152404785,3,6,0.5393328475952153
127,2021-12-03 07:00:00,13.4,12.924083709716797,3,7,0.4759162902832035
128,2021-12-03 08:00:00,13.22,13.082893371582031,3,8,0.1371066284179694
129,2021-12-03 09:00:00,13.2,13.091215133666992,3,9,0.1087848663330071
130,2021-12-03 10:00:00,13.11,12.98469352722168,3,10,0.12530647277831974
131,2021-12-03 11:00:00,13.08,12.820832252502441,3,11,0.25916774749755866
132,2021-12-03 12:00:00,12.99,12.753325462341309,3,12,0.23667453765869162
133,2021-12-03 13:00:00,12.95,12.735559463500977,3,13,0.21444053649902273
134,2021-12-03 14:00:00,13.11,12.701112747192383,3,14,0.4088872528076166
135,2021-12-03 15:00:00,13.25,12.74644660949707,3,15,0.5035533905029297
136,2021-12-03 16:00:00,13.17,12.83579158782959,3,16,0.3342084121704101
137,2021-12-03 17:00:00,13.08,12.972347259521484,3,17,0.1076527404785157
138,2021-12-03 18:00:00,13.04,12.895898818969727,3,18,0.14410118103027258
139,2021-12-03 19:00:00,12.81,12.805051803588867,3,19,0.00494819641113331
140,2021-12-03 20:00:00,12.34,12.588065147399902,3,20,0.24806514739990249
141,2021-12-03 21:00:00,12.39,12.379964828491211,3,21,0.010035171508789631
142,2021-12-03 22:00:00,12.14,12.140236854553223,3,22,0.00023685455322208782
143,2021-12-03 23:00:00,11.66,11.865736961364746,3,23,0.20573696136474595
144,2021-12-04 00:00:00,11.3,11.486406326293945,4,0,0.1864063262939446
145,2021-12-04 01:00:00,11.11,11.421463966369629,4,1,0.3114639663696295
146,2021-12-04 02:00:00,11.04,11.301778793334961,4,2,0.2617787933349618
147,2021-12-04 03:00:00,11.04,11.374463081359863,4,3,0.33446308135986413
148,2021-12-04 04:00:00,11.19,11.400662422180176,4,4,0.21066242218017628
149,2021-12-04 05:00:00,11.49,11.632864952087402,4,5,0.14286495208740213
150,2021-12-04 06:00:00,11.64,11.793815612792969,4,6,0.15381561279296818
151,2021-12-04 07:00:00,11.97,11.979841232299805,4,7,0.009841232299804048
152,2021-12-04 08:00:00,12.16,12.137542724609375,4,8,0.022457275390625142
153,2021-12-04 09:00:00,12.25,12.20097827911377,4,9,0.04902172088623047
154,2021-12-04 10:00:00,12.32,12.25932502746582,4,10,0.06067497253417997
155,2021-12-04 11:00:00,12.37,12.182897567749023,4,11,0.18710243225097578
156,2021-12-04 12:00:00,12.33,12.158100128173828,4,12,0.17189987182617195
157,2021-12-04 13:00:00,12.39,12.191202163696289,4,13,0.1987978363037115
158,2021-12-04 14:00:00,12.75,12.200672149658203,4,14,0.5493278503417969
159,2021-12-04 15:00:00,13.13,12.344663619995117,4,15,0.7853363800048836
160,2021-12-04 16:00:00,13.31,12.423613548278809,4,16,0.8863864517211919
161,2021-12-04 17:00:00,13.41,12.582745552062988,4,17,0.8272544479370119
162,2021-12-04 18:00:00,13.32,12.525202751159668,4,18,0.7947972488403323
163,2021-12-04 19:00:00,13.05,12.406611442565918,4,19,0.6433885574340827
164,2021-12-04 20:00:00,12.67,12.233510971069336,4,20,0.436489028930664
165,2021-12-04 21:00:00,12.93,12.026322364807129,4,21,0.9036776351928708
166,2021-12-04 22:00:00,12.71,11.835639953613281,4,22,0.8743600463867196
167,2021-12-04 23:00:00,12.34,11.583817481994629,4,23,0.756182518005371
0,2021-12-05 00:00:00,12.08,12.16632080078125,5,0,0.08632080078124993
1,2021-12-05 01:00:00,11.9,12.017069816589355,5,1,0.11706981658935511
2,2021-12-05 02:00:00,11.84,11.899032592773438,5,2,0.05903259277343764
3,2021-12-05 03:00:00,11.87,11.936784744262695,5,3,0.0667847442626961
4,2021-12-05 04:00:00,12.11,11.946635246276855,5,4,0.16336475372314396
5,2021-12-05 05:00:00,12.31,12.043506622314453,5,5,0.2664933776855474
6,2021-12-05 06:00:00,12.32,12.20719051361084,5,6,0.11280948638916044
7,2021-12-05 07:00:00,12.69,12.395068168640137,5,7,0.2949318313598628
